symbol,direction,entry_time,entry_price,exit_time,exit_price,qty,pnl,pnl_pct,reason
NEARUSDT,LONG,2026-04-12 12:00:00,1.3341,2026-05-01 20:00:00,1.2774595856438102,243.8,-13.808933020039081,-4.245589862543275,STOPLOSS
APTUSDT,LONG,2026-05-01 00:00:00,1.0281,2026-05-03 00:00:00,0.9850181025683362,301.5,-12.989192075646635,-4.190438423466959,STOPLOSS
RUNEUSDT,LONG,2026-05-03 08:00:00,0.5111,2026-05-05 04:00:00,0.5445685920865234,963.9000000000001,32.260375912199926,6.548345154866644,TAKEPROFIT
FILUSDT,SHORT,2026-02-02 04:00:00,1.031,2026-05-06 00:00:00,1.1143306058220417,185.10000000000002,-15.424495137659934,-8.082502989528786,STOPLOSS
BNBUSDT,LONG,2026-05-06 04:00:00,637.9,2026-05-06 12:00:00,660.8730089610253,1.43,32.85140281426626,3.6013495784645486,TAKEPROFIT
BTCUSDT,LONG,2026-05-05 08:00:00,80972.9,2026-05-07 16:00:00,79504.60277426695,0.008,-11.746377805864322,-1.8133193027951824,STOPLOSS
INJUSDT,LONG,2026-05-02 00:00:00,3.718,2026-05-08 08:00:00,4.0967165392788925,86.2,32.64536568584053,10.186028490556549,TAKEPROFIT
TIAUSDT,LONG,2026-05-06 20:00:00,0.3876,2026-05-08 16:00:00,0.43688030556297935,704.2,34.703191177450066,12.714217121511703,TAKEPROFIT
APTUSDT,LONG,2026-05-08 00:00:00,1.041,2026-05-10 16:00:00,1.160233049832956,289.1,34.47027470670762,11.453703153982337,TAKEPROFIT
BTCUSDT,LONG,2026-05-10 20:00:00,82181.9,2026-05-11 00:00:00,80943.38411693,0.011,-13.623674713769942,-1.5070421626538142,STOPLOSS
INJUSDT,LONG,2026-05-11 04:00:00,4.3,2026-05-11 20:00:00,4.78087125269299,79.80000000000001,38.37352596490065,11.183052388209083,TAKEPROFIT
BNBUSDT,LONG,2026-05-08 12:00:00,643.6,2026-05-13 00:00:00,675.8829867233683,1.1,35.51128539570508,5.016001666154173,TAKEPROFIT
ADAUSDT,LONG,2026-05-08 20:00:00,0.2734,2026-05-13 12:00:00,0.26540078806437417,1771.0,-14.1666043379933,-2.9258273356348963,STOPLOSS
GRTUSDT,LONG,2026-05-12 00:00:00,0.02876,2026-05-13 12:00:00,0.027543307771893805,12375.0,-15.05656632281417,-4.230501488547272,STOPLOSS
XRPUSDT,LONG,2026-05-13 04:00:00,1.4618,2026-05-13 12:00:00,1.4248910547635723,422.0,-15.575574889772504,-2.5248970609131027,STOPLOSS
ADAUSDT,LONG,2026-05-14 16:00:00,0.2738,2026-05-15 04:00:00,0.2649240455123701,1680.0,-14.911603539218232,-3.241765700376151,STOPLOSS
UNIUSDT,LONG,2026-05-14 16:00:00,3.784,2026-05-15 12:00:00,3.614994630524148,88.2,-14.906273587770146,-4.466315260989746,STOPLOSS
BNBUSDT,LONG,2026-05-15 00:00:00,681.7,2026-05-16 00:00:00,666.9307417613207,1.01,-14.916950821066091,-2.1665334074635907,STOPLOSS
DOGEUSDT,LONG,2026-05-01 00:00:00,0.10904,2026-05-18 04:00:00,0.10494815384938037,3174.0,-12.987519682066686,-3.7526101894897503,STOPLOSS
WLDUSDT,SHORT,2026-05-19 08:00:00,0.2408,2026-05-20 16:00:00,0.25118555612454047,1352.9,-14.050618880890815,-4.312938589925448,STOPLOSS
NEARUSDT,LONG,2026-05-15 16:00:00,1.5453,2026-05-21 04:00:00,1.7776794754836267,163.8,38.06375808421807,15.037822784160152,TAKEPROFIT
APTUSDT,SHORT,2026-05-20 20:00:00,0.9498,2026-05-21 20:00:00,0.9829648318688605,417.3,-13.839684338875506,-3.4917700430470147,STOPLOSS
